"AOSNUMBER","NEWAOSNUMBER (ORI9)","City","County","State","Agency","Type of LEA","Summary","Type of Juris","Technology","TECH ABV","Vendor","Link 1","Link 1 Snapshot","Link 1 Source","Link 1 Type","Link 1 Date","Link 2","Link 2 Snapshot","Link 2 Source","Link 2 Type","Link 2 Date","Link 3","Link 3 Snapshot","Link 3 Source","Link 3 Type","Link 3 Date","Other Links"
"AOS001558","CA0190100BWC","Alhambra","Los Angeles County","CA","Alhambra Police Department","Police","The Alhambra Police Department began using body-worn cameras in 2016. Currently it uses Axon Body-worn Cameras.","Municipal","Body-worn Cameras","","Axon","https://www.facebook.com/photo.php?fbid=301687838657671&set=pb.100064493721895.-2207520000..&type=3","","Alhambra Police Department Facebook page","","01/27/2022","https://www.cityofalhambra.org/DocumentCenter/View/2620/02232021-Alhambra-Police-Chief-Accepts-New-Role-New-Police-Chief-Appointed-PDF","","City of Alhambra","","02/23/2021","https://www.pasadenastarnews.com/2016/09/13/alhambra-police-add-body-cameras-in-proactive-move-to-increase-trust/","","Pasadena Star-News","","9/13/2016",""
"AOS001559","OH0770100UAV","Akron","Summit County","OH","Akron Police Department","Police","The Akron Police Department spent $4,000 on a drone in 2021","Municipal","Drones","","","https://www.wkyc.com/article/news/local/akron/akron-police-getting-a-drone/95-f47dc0a0-1ce4-4f4f-afd3-fcdf618e75fc","","WKYC Studios","","02/07/2021","https://www.akronohio.gov/cms/resource_library/files/6044fe04e2af5bbc/2019_city_of_akron_budget_plan.pdf","","Akron City Council","","","","","","","",""
"AOS001560","GA0600400UAV","Alpharetta","Fulton County","GA","Alpharetta Police Department","Police","The City of Alpharetta created a drone program for its police and fire departments between 2018 and 2020.","Municipal","Drones","","","https://www.alpharetta.ga.us/docs/default-source/publications/budget/2021/annual-operating-and-capital-budget-for-fiscal-year-2021.pdf?sfvrsn=da3ac6ab_35","","Alpharetta City Council","","","","","","","","","","","","",""
"AOS001561","MA0145000BWC","Templeton","Worcester County","MA","Templeton Police Department","Police","On December 30, 2021 the Massachusetts Governor announced an award of $24,500 to the Templeton Police Department for its body-worn camera program.","Municipal","Body-worn Cameras","","","https://web.archive.org/web/20211230213250/https://www.mass.gov/news/baker-polito-administration-awards-municipalities-over-4-million-for-police-body-worn-cameras","","Massachusetts Executive Office of Public Safety and Security","","12/30/2021","","","","","","","","","","",""
"AOS001562","OH0700100ALPR","Mansfield","Richland County","OH","Mansfield Police Department","Police","As of April 2024, the Mansfield Police Department operates 29 Flock Safety automated license plate readers. The agency stores ALPR data for 30 days.","Municipal","Automated License Plate Readers","","Flock Safety","https://transparency.flocksafety.com/mansfield-oh-pd","","Flock Safety","","","https://github.com/mcclatchy-southeast/private_eyes","","The News & Observer","","5/1/2024","https://www.newsobserver.com/news/state/north-carolina/article286920890.html","","The News & Observer","","5/1/2024",""
"AOS001563","FL0050700ALPR","Melbourne","Brevard County","FL","Melbourne Police Department","Police","The Melbourne Police Department received a $50,000 Justice Department grant to buy automated license plate readers and communication headsets in 2022.","Municipal","Automated License Plate Readers","","","https://bja.ojp.gov/funding/awards/15pbja-21-gg-01320-jagx","","BJA Website","","","","","","","","","","","","",""
"AOS001564","CA0400400BWC","Paso Robles","San Luis Obispo County","CA","Paso Robles Police Department","Police","The Paso Robles Police Department began using body-worn cameras in 2019.","Municipal","Body-worn Cameras","","","https://www.prcity.com/DocumentCenter/View/26903/June-4-2019-City-Council-Agenda-Item-No-9-PDF","","Paso Robles City Council","","06/04/2019","https://www.ksby.com/news/local-news/2019/06/15/paso-robles-pd-to-get-body-cams-new-radios","","KSBY6","","06/15/2019","https://pasoroblesdailynews.com/police-chief-holds-press-conference-regarding-police-shooting-suspect/128839/","","Paso Robles Daily News","","12/22/2021",""
"AOS001565","WI0500100ALPR","Stevens Point","Portage County","WI","Stevens Point Police Department","Police","The Stevens Point Police Department uses automated license plate readers.","Municipal","Automated License Plate Readers","","","https://stevenspoint.com/DocumentCenter/View/7568/SPPD-Policy-Manual","","Stevens Point Police Department","","09/28/2021","https://stevenspoint.com/DocumentCenter/View/8157/SPPD-Annual-Report-2021","","Stevens Point Police Department","","2022","","","","","",""
"AOS001566","CA0400500BWC","Pismo Beach","San Luis Obispo County","CA","Pismo Beach Police Department","Police","The Pismo Beach Police Department upgraded to WatchGuard body-worn cameras in 2017.","Municipal","Body-worn Cameras","","Watchguard","http://pismobeach.org/DocumentCenter/View/49767/2017-06-20-Agenda-Regular-Packet?bidId=","","Pismo Beach City Council","","06/20/2017","http://www.pismobeach.org/DocumentCenter/View/50870/Annual-Report-2017?bidId=","","Pismo Beach City Council","","2017","Government Budget/Purchasing","","Pismo Beach Police Department Facebook","","06/03/2022",""
"AOS001567","CA0500300BWC","Newman","Stanislaus County","CA","Newman Police Department","Police","The Newman Police Department uses Axon body-worn cameras.","Municipal","Body-worn Cameras","","Axon","https://www.facebook.com/photo?fbid=363203219173788&set=pcb.363203309173779","","Newman Police Department Facebook","","05/15/2022","https://www.cityofnewman.com/docman/police-department/1094-newman-police-department-policy-manual-1/file.html","","Newman Police Department","","07/08/2020","","","","","",""
"AOS001568","IL0450100GDT","Aurora","Kane County","IL","Aurora Police Department","Police","The Aurora City Council approved a $400,000 ShotSpotter contract in February 2022.","Municipal","Gunshot Detection","","ShotSpotter","https://web.archive.org/web/20220223213226/https://www.chicagotribune.com/suburbs/aurora-beacon-news/ct-abn-aurora-shots-st-0224-20220223-ibu7b7vxcfezxhb6qo4tvrb2wu-story.html","","Aurora Beacon-News","","02/23/2022","","","","","","","","","","",""
"AOS001569","WA0030000BWC","Kennewick","Benton County","WA","Benton County Sheriff's Office","Sheriff","The Benton Sheriff's Office signed a multi-year contract with Axon for body-worn cameras, dash cams, and Tasers using Public Safety Sales Tax funds.","County","Body-worn Cameras","","Axon","https://www.govtech.com/public-safety/wash-cities-adopt-body-cameras-after-new-law-takes-effect","","Tri-City Herald","","01/19/2022","","","","","","","","","","",""
"AOS001570","OH0180800ALPR","Brecksville","Cuyahoga County","OH","Brecksville Police Department","Police","The Brecksville City Council authorized the Brecksville Police Department in 2022 to lease 12 Flock Safety automated license plate readers at a cost of $2,500 per camera.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.scriptype.com/2022/02/18/chiefs-call-new-license-plate-readers-a-game-changer-in-solving-crime/","","ScripType Publications","","02/18/2022","","","","","","","","","","",""
"AOS001571","CA0431000BWC","Morgan Hill","Santa Clara County","CA","Morgan Hill Police Department","Police","The Morgan Hill Police Department began using body-worn cameras in 2011. The agency switched from VieVu to Axon BWCs in 2019.","Municipal","Body-worn Cameras","","Axon","http://morganhillca.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1810&MediaPosition=16254.050&ID=2397&CssClass=","","Morgan Hill City Council","","07/17/2019","https://www.morgan-hill.ca.gov/DocumentCenter/View/35897/Morgan-Hill-Police-Department-Policy-Manual?bidId=","","Morgan Hill Police Department","","04/07/2022","https://www.facebook.com/photo.php?fbid=398765445627495&set=pb.100064821275409.-2207520000..&type=3","","Morgan Hill Police Department Facebook","","06/14/2022",""
"AOS001572","MA0053200BWC","Topsfield","Essex County","MA","Topsfield Police Department","Police","On December 30, 2021 the Massachusetts Governor announced an award of $27,540.58 to the Topsfield Police Department for its body-worn camera program.","Municipal","Body-worn Cameras","","","https://web.archive.org/web/20211230213250/https://www.mass.gov/news/baker-polito-administration-awards-municipalities-over-4-million-for-police-body-worn-cameras","","Massachusetts Executive Office of Public Safety and Security","","12/30/2021","","","","","","","","","","",""
"AOS001573","CA0431100BWC","Mountain View","Santa Clara County","CA","Mountain View Police Department","Police","The Mountain View Police Department purchased 66 Axon body-worn cams in 2015 for $135,000.","Municipal","Body-worn Cameras","","Axon","https://www.mv-voice.com/news/2016/11/30/mvpd-seek-to-improve-body-cam-program","","Mountain View Voice","","11/30/2016","https://www.nbcbayarea.com/news/local/mountain-view-police-department-buys-66-body-cameras-for-officers/1983844/","","NBC Bay Area","","12/04/2014","https://www.ktvu.com/video/935115","","KTVU","","05/19/2021",""
"AOS001574","CA0550100BWC","Sonora","Tuolumne County","CA","Sonora Police Department","Police","The Sonora Police Department began using Vievu body-worn cameras in the mid-2010s.","Municipal","Body-worn Cameras","","Vivue","http://www.sonoraca.com/wp-content/uploads/2017/03/11-20-17CC-cloud-storage.pdf","","Sonora Police Department","","11/20/2017","https://www.facebook.com/photo.php?fbid=174291548225911&set=pb.100069351993471.-2207520000..&type=3","","Sonora Police Department Facebook page","","8/29/2021","","","","","",""
"AOS001575","FL0132200ALPR","Bay Harbor Islands","Miami-Dade County","FL","Bay Harbor Islands Police Department","Police","The Bay Harbor Island Police Department purchased a Flock Safety license plate reader system in 2021.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.bayharborislands-fl.gov/DocumentCenter/View/1760/September-2021-Newswaves","","Bay Harbor Islands News Waves","","","https://www.bayharborislands-fl.gov/DocumentCenter/View/1789/October-2021-Newswaves","","Bay Harbor Islands News Waves","","","http://www.ordinancewatch.com/files/82613/LocalGovernment136912.pdf","","Bay Harbor Island","","8/10/2021",""
"AOS001576","CA0300100BWC","Anaheim","Orange County","CA","Anaheim Police Department","Police","The Anaheim Police Department provides body-worn cameras ""to both uniformed and non-uniformed personnel for use while on-duty,"" according to the agency's policy manual.","Municipal","Body-worn Cameras","","Axon","https://www.anaheim.net/DocumentCenter/View/29459/APD-Policy-Manual","","Anaheim Police Department Policy Manual","","08/27/2020","https://www.facebook.com/photo.php?fbid=319854336849870&set=pb.100064759178464.-2207520000..&type=3","","Anaheim Police Department Facebook","","02/18/2022","https://www.anaheim.net/CivicAlerts.aspx?AID=2240","","City of Anaheim Website","","11/12/2021",""
"AOS001577","NC0010400BWC","Mebane","Alamance County","NC","Mebane Police Department","Police","The Mebane Police Department entered into a five-year, $374,000 contract with Axon for body-worn cameras and data storage in 2022.","Municipal","Body-worn Cameras","","Axon","https://www.mebaneenterprise.com/news/article_ecca9e9e-73bd-11ec-9d84-a73d9995d3ad.html","","Mebane Enterprise","","01/12/2022","","","","","","","","","","",""
"AOS001578","AZ0071700RTCC","Mesa","Maricopa County","AZ","Mesa Police Department","Police","In the summer of 2021, the City of Mesa announced plans for a $3.3 million real-time crime center.","Municipal","Real-Time Crime Center","","","https://www.phoenixnewtimes.com/news/mesa-arizona-millions-of-covid-relief-funds-high-tech-police-surveillance-12004279","","Phoenix New Times","","09/14/2021","https://www.mesaazpolice.gov/crime-safety/rtcc","","Mesa Police Department","","","","","","","",""
"AOS001579","CA0194400BWC","Manhattan Beach","Los Angeles County","CA","Manhattan Beach Police Department","Police","The Manhattan Beach Police Department has used body-worn cameras since at least 2017. They previously used L3 BWCs, but now use Axon cameras.","Municipal","Body-worn Cameras","","Axon","https://www.manhattanbeach.gov/Home/ShowDocument?id=26671","","Manhattan Beach Police Departmenbt","","10/13/2016","https://www.facebook.com/photo/?fbid=2922128911372260&set=pb.100068105806703.-2207520000..","","Manhattan Beach Police Department Facebook","","08/02/2021","https://www.presstelegram.com/2017/03/12/body-cams-are-becoming-routine-for-police-but-who-gets-to-see-footage-is-still-up-in-the-air/","","Long Beach Press-Telegram","","3/12/2017",""
"AOS001580","MD0171300ALPR","Glenarden","Prince George's County","MD","Glenarden Police Department","Police","The Glenarden Police Department purchased two Elsag automated license plate readers in 2019.","Municipal","Automated License Plate Readers","","Elsag","https://web.archive.org/web/20200929044957/https://cityofglenarden.org/wp-content/uploads/2020/08/R-11-2020-Resolution-Authorizing-a-Contract-with-Global-Public-Safety-LLC-for-the-Purchase-of-License-Plate-Reade-and-Electric-Ticket-Printer.pdf","","City of Glenarden","","09/09/2019","","","","","","","","","","",""
"AOS001581","CO0300200ALPR","Golden","Jefferson County","CO","Golden Police Department","Police","The Golden Police Department installed between 10 and 20 Flock Safety automated license plate readers in late 2021.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.thedenverchannel.com/news/local-news/golden-police-install-license-plate-readers-across-city-make-several-arrests-using-the-technology","","The Denver Channel","","12/23/2021","","","","","","","","","","",""
"AOS001582","WA0311900UAV","Lake Stevens","Snohomish County","WA","Lake Stevens Police Department","Police","The Lake Stevens Police Department uses a drone equipped with thermal imaging.","Municipal","Drones","","","https://www.kiro7.com/news/local/police-use-drone-track-down-lake-stevens-burglary-suspect/DQO7PR4CGBERFEDCBFUWFAG7ZU/","","Kiro7 News","","02/17/2022","https://twitter.com/LKS_POLICE/status/1480246371177623552","","Lake Stevens Police Twitter","","01/09/2022","","","","","",""
"AOS001584","CA0194800BWC","Monterey Park","Los Angeles County","CA","Monterey Park Police Department","Police","The Monterey Park Police Department uses body-worn cameras.","Municipal","Body-worn Cameras","","","http://www.montereypark.ca.gov/DocumentCenter/View/11254/Monterey-Park-PD-Policy-Manual","","Monterey Park PD Policy Manual","","09/17/2020","https://twitter.com/MontereyParkPD/status/1469101830672039936/photo/2","","Monterey Park Police Department Twitter","","12/09/2021","https://www.montereypark.ca.gov/AgendaCenter/ViewFile/Agenda/_10162019-2009","","Monterey Park City Council","","10/16/2019",""
"AOS001585","OH0180900ALPR","Broadview Heights","Cuyahoga County","OH","Broadview Heights Police Department","Police","The Broadview Heights Police Department spent $16,500 on six Flock Safety automated license plated readers in early 2022.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.cleveland.com/community/2022/02/broadview-heights-to-lease-license-plate-cameras-buy-drones.html","","cleveland.com","","02/22/2022","","","","","","","","","","",""
"AOS001586","OH0180900UAV","Broadview Heights","Cuyahoga County","OH","Broadview Heights Police Department","Police","The Broadview Heights Police Department spent $15,000 on two dronesin early 2022.","Municipal","Drones","","DLSRPros","https://www.cleveland.com/community/2022/02/broadview-heights-to-lease-license-plate-cameras-buy-drones.html","","cleveland.com","","02/22/2022","","","","","","","","","","",""
"AOS001587","CA0196200CR","San Gabriel","Los Angeles County","CA","San Gabriel Police Department","Police","The San Gabriel Police Department encourages local businesses to register their surveillance cameras with the city. The police can use Fusus software to access the cameras' live feeds.","Municipal","Camera Registry","","Fusus","https://cityofsangabriel.fususregistry.com","","San Gabriel Police Department","","","https://www.fusus.com/blog/california-agencies-are-harnessing-the-power-of-fusus-technology-to-build-stronger-safer-communities","","Fusus","","7/12/2022","","","","","",""
"AOS001588","CA0360900CR","Rialto","San Bernardino County","CA","Rialto Police Department","Police","The Rialto Police Department uses Fusus software to maintain a registry of private surveillance cameras","Municipal","Camera Registry","","Fusus","https://rialtopolice.com/camera-registry/","","Rialto Police","","","https://rialtopd.registry.cam/","","Rialto Police","","","https://rialtopolice.com/rialto-pd-uses-advancements-in-technology-to-combat-crime/","","Rialto Police","","7/21/2022",""
"AOS001589","MA0050100BWC","Amesbury","Essex County","MA","Amesbury Police Department","Police","On December 30, 2021 the Massachusetts Governor announced an award of $48,000 to the Amesbury Police Department for its body-worn camera program.","Municipal","Body-worn Cameras","","","https://web.archive.org/web/20211230213250/https://www.mass.gov/news/baker-polito-administration-awards-municipalities-over-4-million-for-police-body-worn-cameras","","Massachusetts Executive Office of Public Safety and Security","","12/30/2021","","","","","","","","","","",""
"AOS001590","MA0050200BWC","Andover","Essex County","MA","Andover Police Department","Police","On December 30, 2021 the Massachusetts Governor announced an award of $102,484 to the Andover Police Department for its body-worn camera program.","Municipal","Body-worn Cameras","","","https://web.archive.org/web/20211230213250/https://www.mass.gov/news/baker-polito-administration-awards-municipalities-over-4-million-for-police-body-worn-cameras","","Massachusetts Executive Office of Public Safety and Security","","12/30/2021","","","","","","","","","","",""
"AOS001591","MA0090200BWC","Arlington","Middlesex County","MA","Arlington Police Department","Police","On December 30, 2021 the Massachusetts Governor announced an award of $43,035 to the Arlington Police Department for its body-worn camera program.","Municipal","Body-worn Cameras","","","https://web.archive.org/web/20211230213250/https://www.mass.gov/news/baker-polito-administration-awards-municipalities-over-4-million-for-police-body-worn-cameras","","Massachusetts Executive Office of Public Safety and Security","","12/30/2021","","","","","","","","","","",""
"AOS001592","MA0140100BWC","Ashburnham","Worcester County","MA","Ashburnham Police Department","Police","The Ashburnham Police Department received a $43,511 grant from the state of Massachusetts for body-worn cameras in 2024. The agency also received a grant of $28,064 in 2021.","Municipal","Body-worn Cameras","","","https://web.archive.org/web/20211230213250/https://www.mass.gov/news/baker-polito-administration-awards-municipalities-over-4-million-for-police-body-worn-cameras","","Massachusetts Executive Office of Public Safety and Security","","12/30/2021","https://www.mass.gov/news/healey-driscoll-administration-awards-over-3-million-for-police-body-worn-cameras","","Massachusetts Executive Office of Public Safety and Security","","7/29/24","","","","","",""
"AOS001593","FL0560200UAV","Port St. Lucie","St. Lucie County","FL","Port St. Lucie Police Department","Police","The Port St. Lucie Police Department started their drone unit in 2020, however it replaced its fleet with US-made drones in 2023.","Municipal","Drones","","FLIR","https://www.flsenate.gov/Committees/Show/CJ/Meeting%20Packet/4980","","Florida Senate","","1/28/2021","https://www.wpbf.com/article/florida-port-st-lucie-police-drones/43030220","","WBPF","","2/22/2023","https://www.cityofpsl.com/Home/Components/News/News/5473/2008","","City of Port St. Lucie","","4/26/2021",""
"AOS001594","MA0081700BWC","Ware","Hampshire County","MA","Ware Police Department","Police","On December 30, 2021 the Massachusetts Governor announced an award of $25,405 to the Ware Police Department for its body-worn camera program.","Municipal","Body-worn Cameras","","","https://web.archive.org/web/20211230213250/https://www.mass.gov/news/baker-polito-administration-awards-municipalities-over-4-million-for-police-body-worn-cameras","","Massachusetts Executive Office of Public Safety and Security","","12/30/2021","","","","","","","","","","",""
"AOS001595","FL0640300UAV","New Smyrna Beach","Volusia County","FL","New Smyrna Beach Police Department","Police","The New Smyrna Police Department uses drones.","Municipal","Drones","","DJI","https://www.ournsb.org/wp-content/uploads/2020/01/sUAS-Presentation.pdf","","New Smyrna Beach Police Department","","2020","https://www.cityofnsb.com/DocumentCenter/View/13754/32-3-Unmanned-Aircraft-Systems","","New Smyrna Beach Police Department","","03/2021","https://www.news-journalonline.com/story/news/local/volusia/2020/02/09/nsb-police-want-to-add-drone-aircraft/1735069007/","","Daytona Beach News-Journal","","02/09/2020",""
"AOS001596","FL0480100UAV","Apopka","Orange County","FL","Apopka Police Department","Police","The Apopka Police Department purchased two drones in 2019.","Municipal","Drones","","","https://www.flsenate.gov/Committees/Show/CJ/Meeting%20Packet/4980","","Florida Senate","","1/28/2021","https://theapopkachief.com/apopka-police-get-ok-to-purchase-2-drones-policy-set-training-ahead/","","The Apopka Chief","","6/21/2019","","","","","",""
"AOS001597","XX0000531UAV","Jacksonville","Duval County","FL","CSX Railroad Police Department","Police","The CSX Railroad Police Department has been using drones since 2015.","Railroad","Drones","","","https://www.flsenate.gov/Committees/Show/CJ/Meeting%20Packet/4980","","Florida Senate","","1/28/2021","https://www.freightwaves.com/news/csx-exploring-use-of-drones-for-track-maintenance","","Freight Waves","","11/25/2015","","","","","",""
"AOS001598","FL0640600UAV","Edgewater","Volusia County","FL","Edgewater Police Department","Police","The Edgewater Police Department uses drones.","Municipal","Drones","","","https://www.flsenate.gov/Committees/Show/CJ/Meeting%20Packet/4980","","Florida Senate","","1/28/2021","https://www.facebook.com/photo.php?fbid=295401972741374&set=pb.100068147190504.-2207520000.&type=3","","Edgewater Police Department Facebook","","3/22/2022","https://edgewaterecho.com/2022/11/edgewater-city-council-recap-november-1-2022/","","Edgewater Echo","","11/1/2022",""
"AOS001600","FL0360100UAV","Fort Myers","Lee County","FL","Fort Myers Police Department","Police","The Fort Myers Police Department uses drones.","Municipal","Drones","","","https://www.flsenate.gov/Committees/Show/CJ/Meeting%20Packet/4980","","Florida Senate","","1/28/2021","https://www.news-press.com/story/news/crime/2019/04/19/fort-myers-police-block-off-street-after-shooting/3523961002/","","News Press","","4/19/2019","","","","","",""
"AOS001601","FL0501600UAV","Juno Beach","Palm Beach County","FL","Juno Beach Police Department","Police","The Juno Beach Police Department purchased a drone in 2020 with funds from a local police foundation.","Municipal","Drones","","DJI","https://www.flsenate.gov/Committees/Show/CJ/Meeting%20Packet/4980","","Florida Senate","","1/28/2021","https://www.jbpf.info/police-drone/","","Juno Beach Police Foundation","","","","","","","",""
"AOS001602","FL0030700UAV","Lynn Haven","Bay County","FL","Lynn Haven Police Department","Police","The Lynn Haven Police Department uses drones.","Municipal","Drones","","","https://www.flsenate.gov/Committees/Show/CJ/Meeting%20Packet/4980","","Florida Senate","","1/28/2021","https://www.facebook.com/LynnHavenPD/posts/ofc-cain-and-his-partner-k9-ofc-brother-were-doing-some-training-today-they-were/3045900328790594/","","Lynn Haven Police Department Facebook","","7/9/2020","https://fosterfollynews.net/2021/08/12/lynn-haven-florida-police-department-utilizes-drone-technology-to-conduct-surveillance-map-crime-scenes/","","Foster Folly News","","08/12/2021",""
"AOS001603","FL0050800UAV","Melbourne Beach","Brevard County","FL","Melbourne Beach Police Department","Police","The Melbourne Beach Police Department has been using a drone since at least 2019.","Municipal","Drones","","DJI","https://www.flsenate.gov/Committees/Show/CJ/Meeting%20Packet/4980","","Florida Senate","","1/28/2021","http://veronews.com/2019/06/20/upgraded-tools-boost-capability-of-law-agencies/","","Vero News","","6/20/2019","https://www.alamy.com/melbourne-beach-florida-usa-march-27-2020-this-small-florida-beachside-town-will-be-using-a-remote-controlled-drone-eagle-one-operated-by-the-police-department-to-identify-areas-of-the-beach-that-people-are-congregating-in-violation-of-the-closed-beach-order-due-to-the-coronavirus-pandemic-the-residents-that-own-the-property-adjacent-to-the-beach-are-still-allowed-access-all-beachside-end-of-street-parking-lots-and-off-street-parking-areas-are-closed-and-cordoned-off-credit-julian-leekalamy-live-news-image350743591.html","","Julian Leek Alamy","","3/27/2020",""
"AOS001604","FL0050700UAV","Melbourne","Brevard County","FL","Melbourne Police Department","Police","The Melbourne Police Department has been using drones since 2017.","Municipal","Drones","","","https://www.flsenate.gov/Committees/Show/CJ/Meeting%20Packet/4980","","Florida Senate","","1/28/2021","https://www.baynews9.com/fl/tampa/news/2017/3/17/csi_from_the_air_mel","","Bay News 9","","3/17/2017","https://www.baynews9.com/fl/tampa/news/2017/3/17/csi_from_the_air_mel","","Spectrum News/ Bay News 9","","03/17/2017",""
"AOS001605","RIRSP0000BWC","North Scituate","Providence County","RI","Rhode Island State Police","State Police/Highway Patrol","The Rhode Island State Police was one of the 11 recipients of a 2021 grant from the U.S. Department of Justice to the State of Rhode Island for body-worn cameras.","Statewide","Body-worn Cameras","","","https://www.reed.senate.gov/news/releases/new-15-million-federal-grant-will-outfit-hundreds-of-ri-police-with-body-worn-cameras","","Senator Jack Reed","","12/17/2021","","","","","","","","","","",""
"AOS001606","FL0502300UAV","North Palm Beach","Palm Beach County","FL","North Palm Beach Police Department","Police","The North Palm Police Department uses drones.","Municipal","Drones","","","https://www.flsenate.gov/Committees/Show/CJ/Meeting%20Packet/4980","","Florida Senate","","1/28/2021","https://village-north-palm-beach-fl-budget-book.cleargov.com/6852/departments/police-department","","Village of North Palm Beach Government","","","","","","","",""
"AOS001607","FL0420100UAV","Ocala","Marion County","FL","Ocala Police Department","Police","The Ocala Police Department uses drones.","Municipal","Drones","","","https://www.flsenate.gov/Committees/Show/CJ/Meeting%20Packet/4980","","Florida Senate","","1/28/2021","https://www.facebook.com/OcalaPoliceDepartment/photos/a.769621979716142/4377388502272787/?type=3&paipv=0&eav=AfYi1fSeaz3y871rOeYgSx-bHsf8chff-Fy-r7vRfq5q37OBnGikZrgrspixK8OOhVc&_rdr","","Ocala Police Department Facebook","","03/31/2021","","","","","",""
"AOS001608","FL0480300UAV","Ocoee","Orange County","FL","Ocoee Police Department","Police","The Ocoee Police Department uses drones.","Municipal","Drones","","","https://www.flsenate.gov/Committees/Show/CJ/Meeting%20Packet/4980","","Florida Senate","","1/28/2021","https://nextdoor.com/agency-post/fl/ocoee/ocoee-police-department/officers-of-the-fourth-quarter-2020-176358025/","","Ocoee Police Department Nextdoor","","02/08/2021","","","","","",""
"AOS001609","FL0030600UAV","Panama City Beach","Bay County","FL","Panama City Beach Police Department","Police","The Panama City Beach Police Department has been using drones since atleast 2019.","Municipal","Drones","","","https://www.flsenate.gov/Committees/Show/CJ/Meeting%20Packet/4980","","Florida Senate","","1/28/2021","https://www.governing.com/news/headlines/several-florida-police-departments-utilizing-drone-technology.html","","Governing","","12/16/2019","","","","","",""
"AOS001610","FL0060800UAV","Pembroke Pines","Broward County","FL","Pembroke Pines Police Department","Police","The Pembroke Pines Police Department uses drones.","Municipal","Drones","","","https://www.flsenate.gov/Committees/Show/CJ/Meeting%20Packet/4980","","Florida Senate","","1/28/2021","https://www.facebook.com/watch/?v=958418675007922","","Pembroke Pines Police Department Facebook","","7/17/2021","","","","","",""
"AOS001611","FL0050900UAV","Rockledge","Brevard County","FL","Rockledge Police Department","Police","The Rockledge Police Department purchased two drones in 2019.","Municipal","Drones","","","https://www.flsenate.gov/Committees/Show/CJ/Meeting%20Packet/4980","","Florida Senate","","1/28/2021","https://flauditor.gov/pages/mun_efile%20rpts/2019%20rockledge.pdf","","City of Rockledge","","9/30/2019","","","","","",""
"AOS001612","FL0641300UAV","South Daytona","Volusia County","FL","South Daytona Police Department","Police","The South Daytona Police created a drone unit in 2020, with two drones purchased with asset forfeiture funds.","Municipal","Drones","","","https://www.flsenate.gov/Committees/Show/CJ/Meeting%20Packet/4980","","Florida Senate","","1/28/2021","https://www.facebook.com/watch/?v=2623138534618524","","City of South Daytona Facebook page","","8/7/2020","https://www.southdaytona.org/egov/documents/1602165700_26042.pdf","","The Insider","","10/2020",""
"AOS001613","FL0131900UAV","South Miami","Miami-Dade County","FL","South Miami Police Department","Police","The South Miami Police Department uses drones.","Municipal","Drones","","","https://www.flsenate.gov/Committees/Show/CJ/Meeting%20Packet/4980","","Florida Senate","","1/28/2021","https://southmiamifl.gov/DocumentCenter/View/3656/2018-Annual-Report","","South Miami Police Department","","","","","","","",""
"AOS001614","FL0290300UAV","Temple Terrace","Hillsborough County","FL","Temple Terrace Police Department","Police","The Temple Terrance Police Department operates a drone program.","Municipal","Drones","","","https://www.flsenate.gov/Committees/Show/CJ/Meeting%20Packet/4980","","Florida Senate","","1/28/2021","https://www.baynews9.com/fl/tampa/news/2022/03/08/temple-terrace-police-department-drone-program","","Spectrum News","","3/8/2022","https://www.wtsp.com/article/news/local/temple-terrace-drone-program/67-34f11d78-d96b-4f2c-8756-d5589b5c0da9","","Tampa Bay 10","","3/10/2022",""
"AOS001615","FL0521900UAV","Treasure Island","Pinellas County","FL","Treasure Island Police Department","Police","The Treasure Island Police purchased a drone with a $2,000 donation in 2019.","Municipal","Drones","","","https://www.flsenate.gov/Committees/Show/CJ/Meeting%20Packet/4980","","Florida Senate","","1/28/2021","https://nextdoor.com/agency-post/fl/treasure-island/city-of-treasure-island/flag-dedication-ceremony-at-tipd-may-21st-110596500/","","City of Treasure Island NextDoor","","5/19/2019","","","","","",""
"AOS001616","MA0145300BWC","Warren","Worcester County","MA","Warren Police Department","Police","On December 30, 2021 the Massachusetts Governor announced an award of $31,555 to the Warren Police Department for its body-worn camera program.","Municipal","Body-worn Cameras","","","https://web.archive.org/web/20211230213250/https://www.mass.gov/news/baker-polito-administration-awards-municipalities-over-4-million-for-police-body-worn-cameras","","Massachusetts Executive Office of Public Safety and Security","","12/30/2021","","","","","","","","","","",""
"AOS001617","FL0590600UAV","Winter Springs","Seminole County","FL","Winter Springs Police Department","Police","The Winter Springs Police Department purchased a drone in 2019.","Municipal","Drones","","","https://www.flsenate.gov/Committees/Show/CJ/Meeting%20Packet/4980","","Florida Senate","","1/28/2021","https://www.mynews13.com/fl/orlando/news/2019/03/11/central-florida-law-enforcement-wants-to-use-drones-for-policing","","My News 13","","3/11/2019","","","","","",""
